gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	23	0	193	0.0	25	0	200	0.0	206	0	1573	0.0
CUFF_NC.4	1	33820	36039	+	82	84	817	0.10281517747858017	177	1	1781	0.0005614823133071309	572	6	4921	0.001219264377159114
CUFF_NC.2	1	45074	46980	+	111	3	1046	0.0028680688336520078	102	2	894	0.0022371364653243847	440	6	3318	0.0018083182640144665
CUFF_NC.3	1	51977	52743	-	67	0	431	0.0	53	0	310	0.0	151	1	910	0.001098901098901099
CUFF_NC.9	1	63146	64476	+	65	0	761	0.0	61	0	778	0.0	321	6	2759	0.0021747009786154403
CUFF_NC.10	1	67285	67782	+	73	0	323	0.0	26	0	149	0.0	107	0	462	0.0
CUFF_NC.5	1	69606	71157	+	60	6	464	0.01293103448275862	39	2	334	0.005988023952095809	345	4	2140	0.001869158878504673
CUFF_NC.8	1	73084	73716	-	17	0	77	0.0	57	0	285	0.0	175	0	617	0.0
CUFF_NC.12	1	75366	76624	-	182	1	1061	0.000942507068803016	90	1	428	0.002336448598130841	246	4	1414	0.002828854314002829
CUFF_NC.13	1	77837	78333	+	29	0	281	0.0	16	0	62	0.0	119	0	538	0.0
CUFF_NC.6	1	86737	87289	+	86	0	363	0.0	34	1	156	0.00641025641025641	100	1	436	0.0022935779816513763
CUFF_NC.18	1	89402	91722	-	57	0	329	0.0	116	0	851	0.0	486	8	3299	0.002424977265838133
CUFF_NC.19	1	95040	96380	-	75	0	533	0.0	88	0	739	0.0	348	3	2471	0.0012140833670578712
CUFF_NC.11	1	100800	101866	-	40	1	374	0.00267379679144385	48	1	631	0.001584786053882726	262	3	2069	0.0014499758337361043
CUFF_NC.7	1	104712	105333	+	74	0	380	0.0	65	1	321	0.003115264797507788	144	2	638	0.003134796238244514
CUFF_NC.15	1	116797	118774	-	269	0	1334	0.0	143	1	654	0.0015290519877675841	422	4	1921	0.002082248828735034
CUFF_NC.14	1	119083	119969	-	38	0	424	0.0	24	1	231	0.004329004329004329	194	6	1760	0.003409090909090909
CUFF_NC.20	1	121456	123494	+	104	297	846	0.35106382978723405	176	3	1470	0.0020408163265306124	512	8	3616	0.0022123893805309734
CUFF_NC.21	1	133006	133474	+	21	0	95	0.0	25	0	125	0.0	121	0	412	0.0
CUFF_NC.16	1	141174	141695	+	14	1	117	0.008547008547008548	11	1	102	0.00980392156862745	144	0	1045	0.0
