gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	21	80	264	0.30303030303030304	24	4	245	0.0163265306122449	181	14	1917	0.007303077725612937
CUFF_NC.4	1	33820	36039	+	79	188	941	0.1997874601487779	156	6	2083	0.0028804608737397984	489	10	5387	0.0018563207722294413
CUFF_NC.2	1	45074	46980	+	79	1	1150	0.0008695652173913044	85	3	966	0.003105590062111801	338	4	3260	0.001226993865030675
CUFF_NC.3	1	51977	52743	-	49	3	288	0.010416666666666666	44	0	303	0.0	135	3	781	0.0038412291933418692
CUFF_NC.9	1	63146	64476	+	51	1	795	0.0012578616352201257	49	0	824	0.0	229	9	2785	0.003231597845601436
CUFF_NC.10	1	67285	67782	+	51	0	457	0.0	20	0	215	0.0	69	0	500	0.0
CUFF_NC.5	1	69606	71157	+	48	1	407	0.002457002457002457	33	1	343	0.0029154518950437317	229	7	1975	0.0035443037974683543
CUFF_NC.8	1	73084	73716	-	16	5	77	0.06493506493506493	51	1	215	0.004651162790697674	148	1	535	0.001869158878504673
CUFF_NC.12	1	75366	76624	-	135	3	974	0.003080082135523614	62	0	454	0.0	156	7	1097	0.006381039197812215
CUFF_NC.13	1	77837	78333	+	16	0	265	0.0	6	0	56	0.0	36	0	436	0.0
CUFF_NC.6	1	86737	87289	+	89	2	346	0.005780346820809248	36	0	151	0.0	94	0	346	0.0
CUFF_NC.18	1	89402	91722	-	65	0	373	0.0	131	0	1252	0.0	532	9	3817	0.002357872674875557
CUFF_NC.19	1	95040	96380	-	69	207	801	0.25842696629213485	84	2	1044	0.0019157088122605363	303	11	3363	0.0032708890871245913
CUFF_NC.11	1	100800	101866	-	36	0	451	0.0	43	2	715	0.002797202797202797	226	2	2169	0.0009220839096357768
CUFF_NC.7	1	104712	105333	+	54	1	256	0.00390625	45	0	217	0.0	83	0	440	0.0
CUFF_NC.15	1	116797	118774	-	231	2	1365	0.0014652014652014652	131	1	665	0.0015037593984962407	321	1	1696	0.0005896226415094339
CUFF_NC.14	1	119083	119969	-	36	3	512	0.005859375	21	0	274	0.0	178	6	1852	0.0032397408207343412
CUFF_NC.20	1	121456	123494	+	101	842	1159	0.72648835202761	160	7	1789	0.003912800447177194	432	7	3913	0.0017889087656529517
CUFF_NC.21	1	133006	133474	+	11	0	106	0.0	16	0	168	0.0	59	0	424	0.0
CUFF_NC.16	1	141174	141695	+	17	1	118	0.00847457627118644	11	1	92	0.010869565217391304	139	6	890	0.006741573033707865
CUFF_NC.17	1	154589	156159	+	169	1	1405	0.0007117437722419929	80	0	504	0.0	329	3	1916	0.0015657620041753654
CUFF_NC.22	1	163277	166353	+	142	634	1289	0.4918541505042669	162	6	1448	0.004143646408839779	646	11	5032	0.0021860095389507153
CUFF_NC.25	1	180261	180962	+	42	2	769	0.002600780234070221	19	3	387	0.007751937984496124	116	4	1720	0.002325581395348837
CUFF_NC.26	1	182345	182786	+	29	0	275	0.0	11	0	115	0.0	77	2	518	0.003861003861003861
CUFF_NC.28	1	192588	193200	+	16	2	107	0.018691588785046728	34	1	236	0.00423728813559322	171	4	1083	0.003693444136657433
CUFF_NC.23	1	196107	196598	-	59	1	393	0.002544529262086514	37	1	197	0.005076142131979695	66	1	323	0.0030959752321981426
CUFF_NC.24	1	197887	198512	-	33	8	350	0.022857142857142857	20	0	247	0.0	114	2	881	0.0022701475595913734
CUFF_NC.27	1	210058	210613	-	36	2	308	0.006493506493506494	31	2	311	0.006430868167202572	115	5	936	0.005341880341880342
CUFF_NC.29	1	219083	221145	-	206	0	876	0.0	117	1	506	0.001976284584980237	350	5	1801	0.00277623542476402
CUFF_NC.30	1	226848	227453	+	20	0	65	0.0	27	0	146	0.0	87	1	276	0.0036231884057971015
CUFF_NC.34	1	233075	237654	+	152	817	1601	0.5103060587133041	274	8	3174	0.002520478890989288	1040	26	10713	0.0024269579016148604
CUFF_NC.31	1	238416	239453	+	57	972	1029	0.9446064139941691	52	816	957	0.8526645768025078	267	1703	4467	0.3812402059547795
CUFF_NC.32	1	254830	257455	+	92	314	1173	0.26768968456947995	64	190	978	0.19427402862985685	399	494	4323	0.11427249595188527
CUFF_NC.58	1	283807	284180	-	32	14	163	0.08588957055214724	18	1	85	0.011764705882352941	72	0	318	0.0
CUFF_NC.33	1	294207	295108	-	41	0	265	0.0	41	2	400	0.005	200	3	1560	0.0019230769230769232
CUFF_NC.36	1	301346	301758	+	10	0	140	0.0	16	2	250	0.008	65	3	1102	0.0027223230490018148
