gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	18	59	150	0.3933333333333333	20	1	144	0.006944444444444444	173	1	1103	0.0009066183136899365
CUFF_NC.4	1	33820	36039	+	78	121	647	0.18701700154559506	154	2	1389	0.0014398848092152627	453	14	3075	0.0045528455284552845
CUFF_NC.2	1	45074	46980	+	98	2	783	0.002554278416347382	90	1	562	0.0017793594306049821	370	12	2002	0.005994005994005994
CUFF_NC.3	1	51977	52743	-	51	0	119	0.0	39	0	114	0.0	115	0	266	0.0
CUFF_NC.9	1	63146	64476	+	46	0	414	0.0	51	1	389	0.002570694087403599	208	5	1019	0.004906771344455349
CUFF_NC.10	1	67285	67782	+	73	2	451	0.004434589800443459	23	0	169	0.0	93	2	426	0.004694835680751174
CUFF_NC.5	1	69606	71157	+	51	24	392	0.061224489795918366	36	3	259	0.011583011583011582	219	4	1175	0.003404255319148936
CUFF_NC.8	1	73084	73716	-	12	1	55	0.01818181818181818	43	0	182	0.0	117	2	464	0.004310344827586207
CUFF_NC.12	1	75366	76624	-	154	1	699	0.001430615164520744	77	1	307	0.003257328990228013	177	2	743	0.0026917900403768506
CUFF_NC.13	1	77837	78333	+	19	0	214	0.0	6	0	31	0.0	44	1	311	0.003215434083601286
CUFF_NC.6	1	86737	87289	+	89	3	371	0.008086253369272238	42	0	149	0.0	112	3	366	0.00819672131147541
CUFF_NC.18	1	89402	91722	-	43	1	118	0.00847457627118644	84	1	362	0.0027624309392265192	331	17	1185	0.014345991561181435
CUFF_NC.19	1	95040	96380	-	63	6	508	0.011811023622047244	76	3	596	0.0050335570469798654	267	13	1549	0.008392511297611363
CUFF_NC.11	1	100800	101866	-	28	0	253	0.0	35	1	541	0.0018484288354898336	149	7	1331	0.005259203606311044
CUFF_NC.7	1	104712	105333	+	59	1	238	0.004201680672268907	56	0	218	0.0	116	2	419	0.00477326968973747
CUFF_NC.15	1	116797	118774	-	248	6	1270	0.004724409448818898	127	1	532	0.0018796992481203006	331	4	1304	0.003067484662576687
