gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	20	4	93	0.043010752688172046	25	0	88	0.0	212	3	823	0.0036452004860267314
CUFF_NC.4	1	33820	36039	+	83	111	405	0.2740740740740741	173	0	855	0.0	561	5	2377	0.002103491796381994
CUFF_NC.2	1	45074	46980	+	105	3	521	0.005758157389635317	95	0	434	0.0	398	5	1745	0.0028653295128939827
CUFF_NC.3	1	51977	52743	-	66	0	206	0.0	50	1	159	0.006289308176100629	129	0	380	0.0
CUFF_NC.9	1	63146	64476	+	57	1	314	0.0031847133757961785	57	0	346	0.0	293	2	1296	0.0015432098765432098
CUFF_NC.10	1	67285	67782	+	66	0	222	0.0	27	0	84	0.0	91	0	252	0.0
CUFF_NC.5	1	69606	71157	+	68	30	279	0.10752688172043011	45	1	179	0.00558659217877095	335	5	1032	0.0048449612403100775
CUFF_NC.8	1	73084	73716	-	19	0	50	0.0	52	1	133	0.007518796992481203	155	1	356	0.0028089887640449437
CUFF_NC.12	1	75366	76624	-	146	1	512	0.001953125	80	0	262	0.0	182	0	600	0.0
CUFF_NC.13	1	77837	78333	+	19	0	125	0.0	5	0	17	0.0	47	1	188	0.005319148936170213
CUFF_NC.6	1	86737	87289	+	89	0	223	0.0	39	0	85	0.0	98	1	244	0.004098360655737705
CUFF_NC.18	1	89402	91722	-	60	3	215	0.013953488372093023	125	4	567	0.007054673721340388	487	10	1863	0.005367686527106817
CUFF_NC.19	1	95040	96380	-	67	14	257	0.054474708171206226	78	0	345	0.0	274	2	1053	0.001899335232668566
CUFF_NC.11	1	100800	101866	-	37	1	136	0.007352941176470588	45	1	213	0.004694835680751174	214	2	709	0.0028208744710860366
CUFF_NC.7	1	104712	105333	+	68	0	222	0.0	59	1	183	0.00546448087431694	121	1	360	0.002777777777777778
CUFF_NC.15	1	116797	118774	-	256	0	873	0.0	133	1	471	0.0021231422505307855	340	2	1011	0.0019782393669634025
CUFF_NC.14	1	119083	119969	-	36	0	148	0.0	22	0	81	0.0	174	2	669	0.0029895366218236174
CUFF_NC.20	1	121456	123494	+	109	350	426	0.8215962441314554	179	3	774	0.003875968992248062	530	6	1998	0.003003003003003003
CUFF_NC.21	1	133006	133474	+	11	30	60	0.5	16	0	70	0.0	53	0	160	0.0
CUFF_NC.16	1	141174	141695	+	12	0	41	0.0	11	0	32	0.0	109	1	349	0.0028653295128939827
CUFF_NC.17	1	154589	156159	+	169	1	610	0.001639344262295082	74	3	269	0.011152416356877323	317	4	1053	0.003798670465337132
CUFF_NC.22	1	163277	166353	+	137	206	574	0.3588850174216028	158	4	625	0.0064	652	5	2288	0.0021853146853146855
CUFF_NC.25	1	180261	180962	+	46	1	291	0.003436426116838488	20	1	132	0.007575757575757576	148	5	828	0.006038647342995169
CUFF_NC.26	1	182345	182786	+	11	0	42	0.0	8	0	21	0.0	42	0	104	0.0
CUFF_NC.28	1	192588	193200	+	15	0	56	0.0	35	0	101	0.0	159	2	478	0.0041841004184100415
CUFF_NC.23	1	196107	196598	-	62	0	205	0.0	36	1	126	0.007936507936507936	84	2	255	0.00784313725490196
