gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	17	0	118	0.0	19	0	128	0.0	168	1	1054	0.0009487666034155598
CUFF_NC.4	1	33820	36039	+	86	184	814	0.22604422604422605	180	14	1804	0.007760532150776054	566	24	4670	0.005139186295503212
CUFF_NC.2	1	45074	46980	+	106	2	909	0.0022002200220022	101	9	832	0.010817307692307692	396	18	3153	0.005708848715509039
CUFF_NC.3	1	51977	52743	-	64	2	292	0.00684931506849315	48	5	263	0.019011406844106463	149	1	540	0.001851851851851852
CUFF_NC.9	1	63146	64476	+	50	3	502	0.00597609561752988	55	1	575	0.0017391304347826088	246	12	1994	0.006018054162487462
CUFF_NC.10	1	67285	67782	+	75	1	541	0.0018484288354898336	26	2	213	0.009389671361502348	108	5	677	0.007385524372230428
CUFF_NC.5	1	69606	71157	+	70	101	539	0.18738404452690166	46	13	330	0.03939393939393939	312	24	1806	0.013289036544850499
CUFF_NC.8	1	73084	73716	-	19	13	132	0.09848484848484848	59	1	390	0.002564102564102564	176	6	892	0.006726457399103139
CUFF_NC.12	1	75366	76624	-	179	4	1163	0.0034393809114359416	91	3	515	0.005825242718446602	223	7	1168	0.0059931506849315065
CUFF_NC.13	1	77837	78333	+	30	1	229	0.004366812227074236	13	0	48	0.0	91	4	419	0.00954653937947494
CUFF_NC.6	1	86737	87289	+	89	5	609	0.008210180623973728	41	0	262	0.0	107	6	639	0.009389671361502348
CUFF_NC.18	1	89402	91722	-	66	2	366	0.00546448087431694	126	4	831	0.0048134777376654635	446	17	2689	0.006322052807735217
CUFF_NC.11	1	100800	101866	-	39	3	284	0.01056338028169014	44	2	403	0.004962779156327543	219	8	1467	0.0054533060668029995
CUFF_NC.7	1	104712	105333	+	76	0	469	0.0	66	4	388	0.010309278350515464	145	3	790	0.0037974683544303796
CUFF_NC.15	1	116797	118774	-	274	10	1940	0.005154639175257732	143	6	1081	0.005550416281221091	368	14	2163	0.006472491909385114
CUFF_NC.14	1	119083	119969	-	40	0	353	0.0	25	0	196	0.0	192	4	1146	0.0034904013961605585
CUFF_NC.20	1	121456	123494	+	110	633	873	0.7250859106529209	166	10	1367	0.0073152889539136795	467	16	3401	0.004704498676859747
CUFF_NC.21	1	133006	133474	+	12	0	95	0.0	20	1	139	0.007194244604316547	64	1	377	0.002652519893899204
CUFF_NC.16	1	141174	141695	+	13	0	53	0.0	11	0	56	0.0	103	3	401	0.007481296758104738
CUFF_NC.17	1	154589	156159	+	177	12	1533	0.007827788649706457	79	3	666	0.0045045045045045045	316	19	2545	0.007465618860510805
CUFF_NC.22	1	163277	166353	+	148	437	1023	0.42717497556207235	179	8	1191	0.006717044500419815	737	21	3997	0.005253940455341506
CUFF_NC.25	1	180261	180962	+	41	6	428	0.014018691588785047	18	1	170	0.0058823529411764705	128	4	962	0.004158004158004158
CUFF_NC.26	1	182345	182786	+	16	0	92	0.0	6	0	21	0.0	39	2	132	0.015151515151515152
CUFF_NC.28	1	192588	193200	+	16	1	103	0.009708737864077669	33	3	194	0.015463917525773196	171	12	831	0.01444043321299639
CUFF_NC.23	1	196107	196598	-	67	3	617	0.004862236628849271	38	3	341	0.008797653958944282	88	4	550	0.007272727272727273
CUFF_NC.24	1	197887	198512	-	42	3	345	0.008695652173913044	28	1	216	0.004629629629629629	151	2	985	0.0020304568527918783
CUFF_NC.27	1	210058	210613	-	34	0	276	0.0	28	0	261	0.0	112	5	930	0.005376344086021506
CUFF_NC.29	1	219083	221145	-	262	4	1699	0.002354326074161271	159	10	989	0.010111223458038422	470	17	2839	0.005988023952095809
CUFF_NC.30	1	226848	227453	+	27	0	117	0.0	31	1	145	0.006896551724137931	109	0	405	0.0
CUFF_NC.34	1	233075	237654	+	158	562	1116	0.503584229390681	279	12	2008	0.00597609561752988	1055	34	6471	0.005254211095657549
CUFF_NC.31	1	238416	239453	+	71	510	590	0.864406779661017	56	318	509	0.6247544204322201	291	316	2488	0.1270096463022508
CUFF_NC.32	1	254830	257455	+	122	32	813	0.03936039360393604	82	22	545	0.04036697247706422	368	74	2084	0.03550863723608445
CUFF_NC.58	1	283807	284180	-	35	1	192	0.005208333333333333	20	0	105	0.0	86	2	417	0.004796163069544364
CUFF_NC.33	1	294207	295108	-	44	1	275	0.0036363636363636364	45	0	364	0.0	194	5	1328	0.0037650602409638554
CUFF_NC.36	1	301346	301758	+	11	0	57	0.0	18	1	97	0.010309278350515464	91	1	491	0.002036659877800407
CUFF_NC.35	1	308731	309427	+	55	3	295	0.010169491525423728	37	0	183	0.0	155	6	692	0.008670520231213872
CUFF_NC.44	1	319180	319521	-	6	0	81	0.0	19	2	198	0.010101010101010102	50	0	405	0.0
CUFF_NC.37	1	341814	342849	+	41	2	186	0.010752688172043012	27	1	125	0.008	149	0	538	0.0
CUFF_NC.43	1	347638	348472	-	29	0	153	0.0	35	1	147	0.006802721088435374	150	5	771	0.00648508430609598
CUFF_NC.42	1	355746	356392	+	43	1	356	0.0028089887640449437	41	1	273	0.003663003663003663	147	8	664	0.012048192771084338
CUFF_NC.39	1	358665	360498	+	126	81	810	0.1	137	3	924	0.003246753246753247	481	13	2776	0.004682997118155619
CUFF_NC.38	1	365198	366851	-	110	2	774	0.002583979328165375	90	3	620	0.004838709677419355	229	5	1092	0.004578754578754579
CUFF_NC.41	1	370226	371382	+	85	3	548	0.005474452554744526	56	2	359	0.005571030640668524	226	13	1385	0.009386281588447653
CUFF_NC.40	1	371997	372411	+	34	1	198	0.005050505050505051	19	1	94	0.010638297872340425	86	4	395	0.010126582278481013
CUFF_NC.57	1	392706	395717	-	226	154	1402	0.10984308131241084	235	6	1374	0.004366812227074236	652	15	3896	0.0038501026694045173
CUFF_NC.54	1	409235	410549	-	86	2	608	0.003289473684210526	106	4	766	0.005221932114882507	362	10	2260	0.004424778761061947
CUFF_NC.53	1	413681	414878	+	55	4	354	0.011299435028248588	90	0	542	0.0	247	7	1321	0.005299015897047691
CUFF_NC.46	1	417273	417814	-	11	0	39	0.0	22	0	109	0.0	66	1	294	0.003401360544217687
CUFF_NC.49	1	421746	425334	-	102	131	625	0.2096	86	23	493	0.04665314401622718	442	72	2199	0.03274215552523874
CUFF_NC.48	1	424665	425164	+	36	2	321	0.006230529595015576	37	1	290	0.0034482758620689655	120	5	853	0.005861664712778429
CUFF_NC.45	1	425557	426435	+	25	22	100	0.22	27	30	131	0.22900763358778625	125	25	574	0.04355400696864112
CUFF_NC.47	1	435444	435889	+	9	0	60	0.0	36	3	200	0.015	93	4	514	0.007782101167315175
CUFF_NC.50	1	442462	442900	+	22	1	172	0.005813953488372093	22	1	186	0.005376344086021506	117	6	872	0.006880733944954129
CUFF_NC.52	1	446824	448464	+	60	292	480	0.6083333333333333	63	104	450	0.2311111111111111	276	161	1752	0.09189497716894977
CUFF_NC.51	1	463998	464582	+	76	2	455	0.004395604395604396	43	2	282	0.0070921985815602835	148	5	807	0.006195786864931847
CUFF_NC.55	1	482013	483177	-	86	1	805	0.0012422360248447205	58	2	464	0.004310344827586207	260	8	2082	0.0038424591738712775
CUFF_NC.59	1	512866	513261	+	20	99	126	0.7857142857142857	14	45	94	0.4787234042553192	73	190	413	0.4600484261501211
CUFF_NC.60	1	514888	515295	+	24	1	184	0.005434782608695652	21	0	154	0.0	73	5	428	0.011682242990654205
CUFF_NC.70	1	523944	530099	-	394	689	2931	0.2350733538041624	369	19	2791	0.00680759584378359	1205	41	7887	0.005198427792570052
CUFF_NC.71	1	525592	531975	-	401	888	3128	0.28388746803069054	412	25	3222	0.007759155803848541	1263	49	8604	0.005695025569502557
CUFF_NC.72	1	528007	534109	-	357	984	2702	0.36417468541820874	378	17	2856	0.005952380952380952	1175	49	8000	0.006125
CUFF_NC.62	1	538375	544045	-	177	182	1489	0.12222968435191403	227	41	1868	0.021948608137044967	883	259	5798	0.04467057606071059
CUFF_NC.64	1	547818	551699	-	104	11	800	0.01375	64	1	400	0.0025	316	11	1743	0.006310958118187034
CUFF_NC.68	1	556826	558761	-	111	0	577	0.0	105	1	575	0.0017391304347826088	449	7	1985	0.003526448362720403
CUFF_NC.61	1	559734	560251	+	6	0	27	0.0	13	0	42	0.0	89	0	235	0.0
CUFF_NC.66	1	564136	564745	-	50	3	319	0.009404388714733543	46	1	301	0.0033222591362126247	130	2	691	0.002894356005788712
CUFF_NC.67	1	565230	565784	-	51	0	309	0.0	30	2	193	0.010362694300518135	124	5	713	0.0070126227208976155
CUFF_NC.63	1	568739	570386	-	197	7	1535	0.004560260586319218	113	4	803	0.0049813200498132005	334	16	2218	0.007213706041478809
CUFF_NC.73	1	588007	589390	-	142	2	864	0.0023148148148148147	89	7	521	0.013435700575815739	311	16	1689	0.009473060982830076
CUFF_NC.76	1	591664	593419	-	118	8	1027	0.007789678675754625	84	4	648	0.006172839506172839	300	8	1744	0.0045871559633027525
CUFF_NC.74	1	594729	596073	+	59	3	551	0.0054446460980036296	98	8	940	0.00851063829787234	303	12	2573	0.004663816556548776
CUFF_NC.75	1	597522	598135	+	30	2	300	0.006666666666666667	29	3	317	0.00946372239747634	85	2	756	0.0026455026455026454
CUFF_NC.77	1	599765	600204	+	15	2	159	0.012578616352201259	28	2	276	0.007246376811594203	74	7	615	0.011382113821138212
CUFF_NC.78	1	610701	611509	+	67	2	441	0.0045351473922902496	45	2	279	0.007168458781362007	219	0	1328	0.0
CUFF_NC.79	1	617987	619403	-	189	10	1279	0.007818608287724784	104	3	700	0.004285714285714286	258	11	1491	0.007377598926894702
CUFF_NC.80	1	622046	622369	-	19	3	189	0.015873015873015872	15	1	162	0.006172839506172839	65	3	495	0.006060606060606061
CUFF_NC.83	1	632744	633122	-	12	1	74	0.013513513513513514	22	2	108	0.018518518518518517	60	2	349	0.0057306590257879654
CUFF_NC.90	1	640236	640825	-	12	35	35	1.0	3	0	15	0.0	39	3	108	0.027777777777777776
CUFF_NC.89	1	641448	642563	+	67	682	810	0.8419753086419753	43	174	443	0.3927765237020316	214	94	1851	0.050783360345759046
CUFF_NC.81	1	653973	654416	+	37	2	298	0.006711409395973154	33	0	242	0.0	105	4	639	0.006259780907668232
