gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	22	36	180	0.2	25	2	191	0.010471204188481676	234	3	1466	0.0020463847203274215
CUFF_NC.4	1	33820	36039	+	90	128	700	0.18285714285714286	184	7	1500	0.004666666666666667	589	11	4046	0.002718734552644587
CUFF_NC.2	1	45074	46980	+	108	6	978	0.006134969325153374	106	1	828	0.0012077294685990338	454	10	2974	0.0033624747814391394
CUFF_NC.3	1	51977	52743	-	69	0	311	0.0	59	0	291	0.0	178	1	879	0.0011376564277588168
CUFF_NC.9	1	63146	64476	+	62	1	572	0.0017482517482517483	59	1	551	0.0018148820326678765	284	3	2282	0.0013146362839614374
CUFF_NC.10	1	67285	67782	+	74	1	445	0.0022471910112359553	26	1	170	0.0058823529411764705	109	1	478	0.0020920502092050207
CUFF_NC.5	1	69606	71157	+	69	27	548	0.04927007299270073	46	1	342	0.0029239766081871343	346	7	2259	0.003098716246126605
CUFF_NC.8	1	73084	73716	-	20	2	55	0.03636363636363636	61	0	208	0.0	181	0	532	0.0
CUFF_NC.12	1	75366	76624	-	168	3	816	0.003676470588235294	78	0	356	0.0	221	3	1199	0.0025020850708924102
CUFF_NC.13	1	77837	78333	+	29	2	398	0.005025125628140704	13	0	115	0.0	110	1	929	0.001076426264800861
CUFF_NC.6	1	86737	87289	+	94	1	404	0.0024752475247524753	42	0	157	0.0	117	2	422	0.004739336492890996
CUFF_NC.18	1	89402	91722	-	65	21	350	0.06	137	4	943	0.0042417815482502655	554	6	3337	0.0017980221756068325
CUFF_NC.19	1	95040	96380	-	74	82	520	0.1576923076923077	86	2	637	0.0031397174254317113	358	4	2324	0.0017211703958691911
CUFF_NC.11	1	100800	101866	-	39	2	272	0.007352941176470588	51	2	445	0.0044943820224719105	263	3	1498	0.0020026702269692926
CUFF_NC.7	1	104712	105333	+	60	2	182	0.01098901098901099	54	0	139	0.0	123	1	317	0.0031545741324921135
CUFF_NC.15	1	116797	118774	-	275	6	1262	0.004754358161648178	148	0	584	0.0	417	4	1901	0.0021041557075223566
CUFF_NC.14	1	119083	119969	-	40	0	362	0.0	24	1	188	0.005319148936170213	203	3	1667	0.001799640071985603
CUFF_NC.20	1	121456	123494	+	112	651	913	0.7130339539978094	176	7	1474	0.0047489823609226595	514	14	3387	0.004133451431945674
CUFF_NC.21	1	133006	133474	+	21	2	88	0.022727272727272728	26	0	124	0.0	116	0	414	0.0
CUFF_NC.16	1	141174	141695	+	15	0	95	0.0	11	1	83	0.012048192771084338	141	3	828	0.0036231884057971015
CUFF_NC.17	1	154589	156159	+	177	3	984	0.003048780487804878	80	2	350	0.005714285714285714	347	7	1473	0.0047522063815342835
CUFF_NC.22	1	163277	166353	+	158	175	801	0.2184769038701623	188	3	994	0.0030181086519114686	829	14	3660	0.003825136612021858
CUFF_NC.25	1	180261	180962	+	38	2	480	0.004166666666666667	20	0	299	0.0	124	1	1081	0.0009250693802035153
CUFF_NC.26	1	182345	182786	+	30	0	265	0.0	12	1	105	0.009523809523809525	91	0	530	0.0
CUFF_NC.28	1	192588	193200	+	16	0	88	0.0	35	1	187	0.0053475935828877	177	3	973	0.003083247687564234
CUFF_NC.23	1	196107	196598	-	68	1	309	0.003236245954692557	40	0	205	0.0	97	1	472	0.00211864406779661
CUFF_NC.24	1	197887	198512	-	45	7	252	0.027777777777777776	31	0	128	0.0	173	3	759	0.003952569169960474
CUFF_NC.27	1	210058	210613	-	41	1	245	0.004081632653061225	35	0	275	0.0	138	0	895	0.0
CUFF_NC.29	1	219083	221145	-	255	2	1022	0.0019569471624266144	154	2	589	0.003395585738539898	472	7	1976	0.00354251012145749
CUFF_NC.30	1	226848	227453	+	31	0	153	0.0	37	1	133	0.007518796992481203	138	2	514	0.0038910505836575876
CUFF_NC.34	1	233075	237654	+	158	591	1067	0.5538894095595126	293	13	2043	0.006363191385217817	1199	24	7636	0.003143006809848088
CUFF_NC.31	1	238416	239453	+	67	564	581	0.9707401032702238	47	423	509	0.831041257367387	263	619	2386	0.2594300083822297
CUFF_NC.32	1	254830	257455	+	128	346	1228	0.28175895765472314	98	230	960	0.23958333333333334	512	555	4533	0.12243547319655856
CUFF_NC.58	1	283807	284180	-	37	0	165	0.0	21	0	84	0.0	111	1	371	0.0026954177897574125
CUFF_NC.33	1	294207	295108	-	45	1	225	0.0044444444444444444	48	3	351	0.008547008547008548	239	5	1309	0.0038197097020626434
CUFF_NC.36	1	301346	301758	+	8	0	110	0.0	17	2	149	0.013422818791946308	96	7	824	0.00849514563106796
CUFF_NC.35	1	308731	309427	+	57	2	325	0.006153846153846154	46	1	249	0.004016064257028112	191	2	871	0.002296211251435132
CUFF_NC.44	1	319180	319521	-	11	2	128	0.015625	24	0	197	0.0	99	3	648	0.004629629629629629
CUFF_NC.37	1	341814	342849	+	51	0	306	0.0	43	0	196	0.0	248	4	1258	0.003179650238473768
CUFF_NC.43	1	347638	348472	-	27	0	160	0.0	36	0	200	0.0	179	0	1122	0.0
CUFF_NC.42	1	355746	356392	+	47	0	303	0.0	42	2	227	0.00881057268722467	181	5	928	0.005387931034482759
CUFF_NC.39	1	358665	360498	+	126	106	683	0.15519765739385066	144	2	795	0.0025157232704402514	534	6	2485	0.002414486921529175
CUFF_NC.38	1	365198	366851	-	116	0	531	0.0	97	0	438	0.0	289	1	1239	0.0008071025020177562
CUFF_NC.41	1	370226	371382	+	94	1	555	0.0018018018018018018	63	0	356	0.0	282	1	1826	0.000547645125958379
CUFF_NC.40	1	371997	372411	+	34	0	143	0.0	18	0	62	0.0	76	0	255	0.0
CUFF_NC.57	1	392706	395717	-	215	67	954	0.07023060796645703	232	1	1181	0.000846740050804403	692	11	3189	0.003449357165255566
CUFF_NC.54	1	409235	410549	-	87	1	346	0.002890173410404624	111	2	497	0.004024144869215292	387	4	1405	0.0028469750889679717
CUFF_NC.53	1	413681	414878	+	57	40	243	0.1646090534979424	92	2	432	0.004629629629629629	253	3	953	0.0031479538300104933
CUFF_NC.46	1	417273	417814	-	17	0	62	0.0	32	0	159	0.0	135	1	514	0.0019455252918287938
CUFF_NC.49	1	421746	425334	-	128	493	992	0.4969758064516129	101	52	584	0.08904109589041095	664	332	4499	0.07379417648366304
CUFF_NC.48	1	424665	425164	+	38	0	284	0.0	37	1	263	0.0038022813688212928	121	5	945	0.005291005291005291
CUFF_NC.45	1	425557	426435	+	31	0	191	0.0	34	1	240	0.004166666666666667	174	6	1367	0.0043891733723482075
CUFF_NC.47	1	435444	435889	+	12	1	65	0.015384615384615385	39	0	267	0.0	108	4	624	0.00641025641025641
CUFF_NC.50	1	442462	442900	+	12	0	70	0.0	14	0	107	0.0	57	2	363	0.005509641873278237
CUFF_NC.52	1	446824	448464	+	65	60	544	0.11029411764705882	77	21	617	0.03403565640194489	324	93	2230	0.04170403587443946
CUFF_NC.51	1	463998	464582	+	78	1	365	0.0027397260273972603	42	0	243	0.0	145	2	598	0.0033444816053511705
CUFF_NC.55	1	482013	483177	-	87	3	535	0.005607476635514018	59	1	362	0.0027624309392265192	314	2	1677	0.0011926058437686344
