gene_id	chr	start	end	strand	n_CG	mc_CG	total_CG	frac_CG	n_CHG	mc_CHG	total_CHG	frac_CHG	n_CHH	mc_CHH	total_CHH	frac_CHH
CUFF_NC.1	1	5814	6640	-	13	9	61	0.14754098360655737	15	0	68	0.0	108	0	480	0.0
CUFF_NC.4	1	33820	36039	+	70	37	396	0.09343434343434344	152	7	990	0.007070707070707071	479	20	2603	0.00768344218209758
CUFF_NC.2	1	45074	46980	+	108	63	971	0.06488156539649846	96	0	750	0.0	424	9	2521	0.0035700119000396666
CUFF_NC.3	1	51977	52743	-	52	1	225	0.0044444444444444444	49	2	278	0.007194244604316547	149	12	654	0.01834862385321101
CUFF_NC.9	1	63146	64476	+	46	0	451	0.0	49	4	543	0.007366482504604052	214	9	1509	0.005964214711729622
CUFF_NC.10	1	67285	67782	+	63	2	382	0.005235602094240838	26	0	181	0.0	80	3	436	0.006880733944954129
CUFF_NC.5	1	69606	71157	+	65	18	495	0.03636363636363636	39	0	242	0.0	305	8	1545	0.005177993527508091
CUFF_NC.8	1	73084	73716	-	17	8	50	0.16	45	1	135	0.007407407407407408	115	4	337	0.011869436201780416
CUFF_NC.12	1	75366	76624	-	159	3	573	0.005235602094240838	84	1	260	0.0038461538461538464	205	8	854	0.00936768149882904
CUFF_NC.13	1	77837	78333	+	20	0	273	0.0	9	0	57	0.0	66	1	511	0.0019569471624266144
CUFF_NC.6	1	86737	87289	+	79	1	140	0.007142857142857143	38	0	67	0.0	91	1	184	0.005434782608695652
CUFF_NC.18	1	89402	91722	-	58	2	283	0.007067137809187279	118	3	877	0.0034207525655644243	462	27	2488	0.010852090032154342
CUFF_NC.19	1	95040	96380	-	69	102	416	0.24519230769230768	87	0	557	0.0	321	7	1849	0.0037858301784748512
CUFF_NC.11	1	100800	101866	-	37	1	246	0.0040650406504065045	44	1	494	0.0020242914979757085	223	6	1369	0.004382761139517896
CUFF_NC.7	1	104712	105333	+	62	0	163	0.0	51	0	131	0.0	100	0	255	0.0
CUFF_NC.15	1	116797	118774	-	221	0	876	0.0	117	2	347	0.005763688760806916	316	4	962	0.004158004158004158
CUFF_NC.14	1	119083	119969	-	33	3	328	0.009146341463414634	20	0	173	0.0	169	11	1295	0.008494208494208495
CUFF_NC.20	1	121456	123494	+	91	561	758	0.7401055408970977	149	6	1235	0.004858299595141701	404	12	2408	0.0049833887043189366
CUFF_NC.21	1	133006	133474	+	10	1	43	0.023255813953488372	12	0	75	0.0	45	0	194	0.0
CUFF_NC.16	1	141174	141695	+	12	0	30	0.0	8	0	28	0.0	105	1	266	0.0037593984962406013
CUFF_NC.17	1	154589	156159	+	153	3	618	0.0048543689320388345	60	2	174	0.011494252873563218	266	2	701	0.0028530670470756064
CUFF_NC.22	1	163277	166353	+	110	164	461	0.3557483731019523	135	6	609	0.009852216748768473	548	22	1911	0.011512297226582941
CUFF_NC.25	1	180261	180962	+	33	2	592	0.0033783783783783786	14	2	322	0.006211180124223602	85	5	1216	0.004111842105263158
CUFF_NC.26	1	182345	182786	+	15	0	198	0.0	9	1	82	0.012195121951219513	53	1	332	0.0030120481927710845
CUFF_NC.28	1	192588	193200	+	13	0	72	0.0	28	0	143	0.0	136	3	595	0.005042016806722689
CUFF_NC.23	1	196107	196598	-	55	14	254	0.05511811023622047	30	7	110	0.06363636363636363	61	5	214	0.02336448598130841
CUFF_NC.24	1	197887	198512	-	36	15	231	0.06493506493506493	21	0	151	0.0	140	1	619	0.0016155088852988692
CUFF_NC.27	1	210058	210613	-	29	1	242	0.004132231404958678	30	0	216	0.0	104	6	673	0.008915304606240713
CUFF_NC.29	1	219083	221145	-	210	5	559	0.008944543828264758	129	0	357	0.0	361	3	1091	0.002749770852428964
CUFF_NC.30	1	226848	227453	+	15	0	98	0.0	19	0	85	0.0	54	2	258	0.007751937984496124
CUFF_NC.34	1	233075	237654	+	135	390	941	0.41445270988310307	263	11	1938	0.005675954592363261	991	42	6706	0.006263048016701462
CUFF_NC.31	1	238416	239453	+	67	1011	1061	0.9528746465598492	50	649	874	0.7425629290617849	282	1529	4172	0.3664908916586769
CUFF_NC.32	1	254830	257455	+	110	318	1088	0.2922794117647059	79	219	859	0.2549476135040745	430	561	3894	0.1440677966101695
CUFF_NC.58	1	283807	284180	-	26	1	72	0.013888888888888888	12	0	38	0.0	58	0	167	0.0
CUFF_NC.33	1	294207	295108	-	37	0	109	0.0	39	1	218	0.0045871559633027525	205	2	783	0.002554278416347382
CUFF_NC.36	1	301346	301758	+	7	0	95	0.0	16	1	114	0.008771929824561403	67	13	569	0.022847100175746926
CUFF_NC.35	1	308731	309427	+	48	0	315	0.0	36	2	243	0.00823045267489712	157	4	866	0.004618937644341801
CUFF_NC.44	1	319180	319521	-	9	3	105	0.02857142857142857	19	0	169	0.0	54	3	403	0.007444168734491315
CUFF_NC.37	1	341814	342849	+	52	2	378	0.005291005291005291	43	1	249	0.004016064257028112	226	6	1399	0.004288777698355968
CUFF_NC.43	1	347638	348472	-	28	1	137	0.0072992700729927005	37	0	168	0.0	154	10	904	0.011061946902654867
CUFF_NC.42	1	355746	356392	+	39	0	314	0.0	31	0	190	0.0	147	3	781	0.0038412291933418692
CUFF_NC.39	1	358665	360498	+	106	190	560	0.3392857142857143	122	5	739	0.006765899864682003	422	15	1878	0.007987220447284345
CUFF_NC.38	1	365198	366851	-	118	2	562	0.0035587188612099642	91	3	439	0.00683371298405467	275	23	1558	0.014762516046213094
CUFF_NC.41	1	370226	371382	+	86	1	441	0.0022675736961451248	51	0	286	0.0	259	6	1596	0.0037593984962406013
CUFF_NC.40	1	371997	372411	+	23	1	204	0.004901960784313725	16	16	207	0.07729468599033816	81	156	758	0.20580474934036938
CUFF_NC.57	1	392706	395717	-	209	86	959	0.08967674661105318	217	2	1135	0.001762114537444934	579	11	2544	0.004323899371069182
CUFF_NC.54	1	409235	410549	-	83	0	368	0.0	101	3	483	0.006211180124223602	317	2	1303	0.0015349194167306216
CUFF_NC.53	1	413681	414878	+	57	0	492	0.0	96	0	649	0.0	262	2	1443	0.001386001386001386
CUFF_NC.46	1	417273	417814	-	18	1	49	0.02040816326530612	27	1	123	0.008130081300813009	102	1	354	0.002824858757062147
CUFF_NC.49	1	421746	425334	-	130	580	998	0.5811623246492986	101	72	560	0.12857142857142856	637	491	4148	0.11837029893924783
CUFF_NC.48	1	424665	425164	+	34	2	181	0.011049723756906077	31	1	145	0.006896551724137931	102	2	528	0.003787878787878788
CUFF_NC.45	1	425557	426435	+	30	0	123	0.0	30	0	199	0.0	150	5	764	0.006544502617801047
CUFF_NC.47	1	435444	435889	+	10	0	40	0.0	38	2	147	0.013605442176870748	106	0	367	0.0
CUFF_NC.50	1	442462	442900	+	19	0	125	0.0	20	1	141	0.0070921985815602835	105	6	513	0.011695906432748537
CUFF_NC.52	1	446824	448464	+	59	1	443	0.002257336343115124	72	3	383	0.007832898172323759	287	27	1396	0.019340974212034383
CUFF_NC.51	1	463998	464582	+	72	3	189	0.015873015873015872	37	0	108	0.0	134	1	391	0.0025575447570332483
CUFF_NC.55	1	482013	483177	-	76	2	379	0.005277044854881266	49	0	259	0.0	215	12	1067	0.011246485473289597
CUFF_NC.59	1	512866	513261	+	29	325	388	0.8376288659793815	17	98	179	0.547486033519553	97	453	913	0.49616648411829134
CUFF_NC.60	1	514888	515295	+	22	0	158	0.0	22	0	151	0.0	76	3	449	0.0066815144766146995
CUFF_NC.70	1	523944	530099	-	364	640	1915	0.3342036553524804	345	22	1926	0.01142263759086189	1163	66	5281	0.012497633024048476
CUFF_NC.71	1	525592	531975	-	339	578	1693	0.3414057885410514	346	18	1809	0.009950248756218905	1100	54	4728	0.011421319796954314
CUFF_NC.72	1	528007	534109	-	322	325	1295	0.25096525096525096	337	21	1460	0.014383561643835616	1079	60	3868	0.015511892450879007
CUFF_NC.62	1	538375	544045	-	157	107	1395	0.07670250896057347	214	24	1867	0.012854847348687734	891	129	5348	0.02412116679132386
CUFF_NC.64	1	547818	551699	-	161	186	1025	0.18146341463414634	89	33	388	0.08505154639175258	566	331	2827	0.11708524938096923
CUFF_NC.65	1	550120	550546	-	9	21	23	0.9130434782608695	7	26	30	0.8666666666666667	45	96	185	0.518918918918919
CUFF_NC.68	1	556826	558761	-	83	2	290	0.006896551724137931	72	0	247	0.0	351	10	1129	0.008857395925597875
CUFF_NC.61	1	559734	560251	+	10	0	54	0.0	16	1	84	0.011904761904761904	107	2	603	0.003316749585406302
CUFF_NC.66	1	564136	564745	-	43	0	165	0.0	36	1	143	0.006993006993006993	95	0	425	0.0
CUFF_NC.67	1	565230	565784	-	49	0	137	0.0	32	0	89	0.0	120	2	386	0.0051813471502590676
CUFF_NC.63	1	568739	570386	-	165	1	695	0.0014388489208633094	89	1	375	0.0026666666666666666	279	4	998	0.004008016032064128
CUFF_NC.73	1	588007	589390	-	128	21	530	0.03962264150943396	88	18	455	0.03956043956043956	312	55	1566	0.0351213282247765
CUFF_NC.76	1	591664	593419	-	96	4	771	0.005188067444876783	65	1	509	0.0019646365422396855	231	12	1270	0.009448818897637795
CUFF_NC.74	1	594729	596073	+	51	2	226	0.008849557522123894	84	1	336	0.002976190476190476	256	4	1083	0.003693444136657433
CUFF_NC.75	1	597522	598135	+	18	0	123	0.0	27	0	175	0.0	52	1	329	0.00303951367781155
CUFF_NC.77	1	599765	600204	+	12	25	69	0.36231884057971014	27	0	159	0.0	85	12	499	0.02404809619238477
CUFF_NC.78	1	610701	611509	+	61	2	255	0.00784313725490196	43	0	120	0.0	197	15	764	0.01963350785340314
CUFF_NC.79	1	617987	619403	-	171	2	771	0.0025940337224383916	93	1	431	0.002320185614849188	219	7	1042	0.0067178502879078695
CUFF_NC.80	1	622046	622369	-	19	2	113	0.017699115044247787	15	1	106	0.009433962264150943	72	3	496	0.006048387096774193
CUFF_NC.83	1	632744	633122	-	10	0	57	0.0	21	0	132	0.0	64	4	440	0.00909090909090909
CUFF_NC.90	1	640236	640825	-	7	68	75	0.9066666666666666	2	11	44	0.25	29	32	201	0.15920398009950248
CUFF_NC.89	1	641448	642563	+	55	0	206	0.0	44	0	158	0.0	165	3	701	0.0042796005706134095
CUFF_NC.81	1	653973	654416	+	29	0	91	0.0	28	0	80	0.0	74	2	197	0.01015228426395939
CUFF_NC.84	1	658696	661410	+	105	40	529	0.07561436672967864	102	5	500	0.01	544	48	2547	0.01884570082449941
CUFF_NC.85	1	659555	662333	+	106	39	523	0.0745697896749522	85	5	459	0.010893246187363835	486	44	2437	0.018054985638079606
CUFF_NC.82	1	663236	663656	+	15	14	33	0.42424242424242425	16	1	30	0.03333333333333333	76	0	165	0.0
CUFF_NC.86	1	665248	666402	+	50	38	221	0.17194570135746606	28	0	97	0.0	213	4	719	0.005563282336578581
CUFF_NC.87	1	675516	676334	-	20	8	53	0.1509433962264151	18	1	48	0.020833333333333332	129	1	322	0.003105590062111801
CUFF_NC.88	1	693076	693540	-	10	1	67	0.014925373134328358	14	0	56	0.0	62	0	218	0.0
CUFF_NC.91	1	705921	706616	+	35	5	220	0.022727272727272728	32	1	149	0.006711409395973154	122	9	632	0.014240506329113924
CUFF_NC.93	1	731716	732702	+	51	69	489	0.1411042944785276	51	8	681	0.011747430249632892	166	7	1289	0.005430566330488751
CUFF_NC.94	1	742835	743218	-	17	25	66	0.3787878787878788	14	0	63	0.0	95	4	342	0.011695906432748537
CUFF_NC.92	1	769606	770629	-	56	2	337	0.005934718100890208	43	0	257	0.0	188	2	893	0.0022396416573348264
CUFF_NC.96	1	792040	792527	+	6	245	251	0.9760956175298805	7	247	295	0.8372881355932204	52	496	992	0.5
CUFF_NC.97	1	792753	793059	+	22	0	240	0.0	14	0	185	0.0	56	4	527	0.007590132827324478
CUFF_NC.95	1	813492	814238	-	31	10	253	0.039525691699604744	28	0	126	0.0	137	11	787	0.01397712833545108
CUFF_NC.99	1	820959	821299	-	8	3	56	0.05357142857142857	13	0	84	0.0	61	4	416	0.009615384615384616
CUFF_NC.98	1	822863	823948	+	35	0	244	0.0	64	3	529	0.005671077504725898	129	7	861	0.008130081300813009
CUFF_NC.102	1	827723	828094	-	7	2	23	0.08695652173913043	14	1	53	0.018867924528301886	65	5	292	0.017123287671232876
CUFF_NC.103	1	842641	845302	+	105	1	419	0.002386634844868735	116	2	397	0.005037783375314861	473	19	1967	0.009659379766141332
CUFF_NC.104	1	843756	844262	+	24	0	62	0.0	17	0	53	0.0	82	0	282	0.0
CUFF_NC.101	1	852139	854239	-	143	21	665	0.031578947368421054	118	6	509	0.011787819253438114	274	16	1170	0.013675213675213675
CUFF_NC.100	1	866098	866818	+	18	0	246	0.0	23	4	376	0.010638297872340425	87	4	849	0.004711425206124852
CUFF_NC.105	1	871636	872739	-	83	9	438	0.02054794520547945	65	1	370	0.002702702702702703	238	8	979	0.008171603677221655
CUFF_NC.109	1	882129	882853	+	16	81	256	0.31640625	35	2	448	0.004464285714285714	99	12	730	0.01643835616438356
CUFF_NC.118	1	905255	905896	+	27	0	81	0.0	28	0	87	0.0	128	6	359	0.016713091922005572
CUFF_NC.107	1	930609	932087	+	69	3	455	0.006593406593406593	43	3	244	0.012295081967213115	218	25	893	0.027995520716685332
